Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,PMR01,446.006250,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,PMR446 canal 01 — RX par défaut sur UV-K5; émission seulement avec un équipement PMR446 conforme,,,,
1,PMR02,446.018750,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,PMR446 canal 02 — RX par défaut sur UV-K5; émission seulement avec un équipement PMR446 conforme,,,,
2,PMR03,446.031250,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,PMR446 canal 03 — RX par défaut sur UV-K5; émission seulement avec un équipement PMR446 conforme,,,,
3,PMR04,446.043750,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,PMR446 canal 04 — RX par défaut sur UV-K5; émission seulement avec un équipement PMR446 conforme,,,,
4,PMR05,446.056250,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,PMR446 canal 05 — RX par défaut sur UV-K5; émission seulement avec un équipement PMR446 conforme,,,,
5,PMR06,446.068750,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,PMR446 canal 06 — RX par défaut sur UV-K5; émission seulement avec un équipement PMR446 conforme,,,,
6,PMR07,446.081250,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,PMR446 canal 07 — RX par défaut sur UV-K5; émission seulement avec un équipement PMR446 conforme,,,,
7,PMR08,446.093750,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,PMR446 canal 08 — RX par défaut sur UV-K5; émission seulement avec un équipement PMR446 conforme,,,,
8,PMR09,446.106250,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,PMR446 canal 09 — RX par défaut sur UV-K5; émission seulement avec un équipement PMR446 conforme,,,,
9,PMR10,446.118750,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,PMR446 canal 10 — RX par défaut sur UV-K5; émission seulement avec un équipement PMR446 conforme,,,,
10,PMR11,446.131250,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,PMR446 canal 11 — RX par défaut sur UV-K5; émission seulement avec un équipement PMR446 conforme,,,,
11,PMR12,446.143750,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,PMR446 canal 12 — RX par défaut sur UV-K5; émission seulement avec un équipement PMR446 conforme,,,,
12,PMR13,446.156250,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,PMR446 canal 13 — RX par défaut sur UV-K5; émission seulement avec un équipement PMR446 conforme,,,,
13,PMR14,446.168750,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,PMR446 canal 14 — RX par défaut sur UV-K5; émission seulement avec un équipement PMR446 conforme,,,,
14,PMR15,446.181250,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,PMR446 canal 15 — RX par défaut sur UV-K5; émission seulement avec un équipement PMR446 conforme,,,,
