Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,M01-S,156.050000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,25.00,,,"VHF marine canal 01 — côté navire, réception seule",,,,
1,M01-C,160.650000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,25.00,,,"VHF marine canal 01 — côté station côtière, réception seule",,,,
2,M02-S,156.100000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,25.00,,,"VHF marine canal 02 — côté navire, réception seule",,,,
3,M02-C,160.700000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,25.00,,,"VHF marine canal 02 — côté station côtière, réception seule",,,,
4,M03-S,156.150000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,25.00,,,"VHF marine canal 03 — côté navire, réception seule",,,,
5,M03-C,160.750000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,25.00,,,"VHF marine canal 03 — côté station côtière, réception seule",,,,
6,M04-S,156.200000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,25.00,,,"VHF marine canal 04 — côté navire, réception seule",,,,
7,M04-C,160.800000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,25.00,,,"VHF marine canal 04 — côté station côtière, réception seule",,,,
8,M05-S,156.250000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,25.00,,,"VHF marine canal 05 — côté navire, réception seule",,,,
9,M05-C,160.850000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,25.00,,,"VHF marine canal 05 — côté station côtière, réception seule",,,,
10,M06,156.300000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,25.00,,,"VHF marine canal 06 — simplex, réception seule",,,,
11,M07-S,156.350000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,25.00,,,"VHF marine canal 07 — côté navire, réception seule",,,,
12,M07-C,160.950000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,25.00,,,"VHF marine canal 07 — côté station côtière, réception seule",,,,
13,M08,156.400000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,25.00,,,"VHF marine canal 08 — simplex, réception seule",,,,
14,M09,156.450000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,25.00,,,"VHF marine canal 09 — simplex, réception seule",,,,
