Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,50-F5ZHY,145.687500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,F5ZHY Mont Robin (Manche) - sortie relais FM VHF - RX seule - ARA50 2026,,,,
1,50-F1ZOV,430.375000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,F1ZOV Cherbourg (Manche) - sortie relais FM UHF - RX seule - ARA50 2026,,,,
2,50-F1ZBL,145.250000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,F1ZBL Cherbourg - acces transparent vers F5ZHY - RX seule - ARA50 2026,,,,
3,14-F5ZBF,145.325000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,"F5ZBF Jurques (Calvados) - actif, sortie FM VHF - RX seule - REF 2026",,,,
4,14-F5ZWC,430.025000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,"F5ZWC Jurques (Calvados) - actif, sortie FM UHF - RX seule - REF 2026",,,,
5,76-F5ZEV,145.725000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,F5ZEV Le Havre - relais FM VHF en prototype - RX seule - SHTSF 2026,,,,
6,76-F1ZRW,430.075000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,F1ZRW Le Havre - sortie analogique d'un relais mixte - RX seule - SHTSF 2026,,,,
7,76-F1ZIBV,145.237500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,F1ZIB Le Havre - voie VHF du transpondeur - RX seule - SHTSF/REF 2026,,,,
8,76-F1ZIBU,432.800000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,F1ZIB Le Havre - voie UHF du transpondeur - RX seule - SHTSF/REF 2026,,,,
9,76-F1ZUE,145.787500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,"F1ZUE Dieppe - relais VHF actif, Echolink - RX seule - F8KII 2026",,,,
10,76-F6ZDK,145.600000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,F6ZDK Rouen-Bihorel - sortie relais VHF - RX seule - F8KII 2026,,,,
11,76-F1ZFRV,145.587500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,F1ZFR Fecamp - voie VHF transpondeur analogique actif - RX seule - REF 2026,,,,
12,76-F1ZFRU,432.587500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,F1ZFR Fecamp - voie UHF transpondeur analogique actif - RX seule - REF 2026,,,,
13,76-F5ZWT,430.225000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,F5ZWT Etretat - relais FM UHF actif - RX seule - REF 2026,,,,
14,53-F6ZCE,145.700000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,F6ZCE Pré-en-Pail / Mont des Avaloirs (Mayenne) - sortie relais FM VHF - RX seule - REF 2026,,,,
